Title,Link,Quartile,Journal,Year,Cited Count,Author Order,Authors,Scopus Indexed,DOI
INDIKATOR FAKTOR MANUSIA TERHADAP KECELAKAAN SEPEDA MOTOR,https://garuda.kemdikbud.go.id/documents/detail/1155637,Accred : Unknown,Jurnal Transportasi Vol. 10 No. 2 (2010),2010,DOI: 10.26593/jtrans.v10i2.388.%p,Author Order : 1 of 3,Jurnal Transportasi Vol. 10 No. 2 (2010),N/A,N/A
ANALISIS PEMILIHAN MODA TRANSPORTASI BUS PATAS DAN KERETA API KORIDOR MALANG–SURABAYA MENGGUNAKAN METODE STATED PREFERENCE,https://scholar.google.com/scholar?q=+intitle:%27ANALISIS%20PEMILIHAN%20MODA%20TRANSPORTASI%20BUS%20PATAS%20DAN%20KERETA%20API%20KORIDOR%20MALANG%E2%80%93SURABAYA%20MENGGUNAKAN%20METODE%20STATED%20PREFERENCE%27,N/A,"Jurnal Arsip Rekayasa Sipil dan Perencanaan 7 (3), 2024",2024,0 cited,N/A,"Authors : EU Jati, A Suraji, R Riman",N/A,N/A
ANALISIS GRANULOMETRI PENAMBAHAN TANAH LEMPUNG EKSPANSIF AMPELGADING TERHADAP POTENSI LIKUIFAKSI TANAH PASIR DELTA BRANTAS,https://scholar.google.com/scholar?q=+intitle:%27ANALISIS%20GRANULOMETRI%20PENAMBAHAN%20TANAH%20LEMPUNG%20EKSPANSIF%20AMPELGADING%20TERHADAP%20POTENSI%20LIKUIFAKSI%20TANAH%20PASIR%20DELTA%20BRANTAS%27,N/A,"BOUWPLANK Jurnal Ilmiah Teknik Sipil dan Lingkungan 4 (1), 7-15, 2024",2024,0 cited,N/A,"Authors : YIW Gasa, AT Sudjianto, A Suraji",N/A,N/A
Analisis Kerusakan Jalan Menggunakan Metode PCI pada Jalan Perkerasan Kaku,https://scholar.google.com/scholar?q=+intitle:%27Analisis%20Kerusakan%20Jalan%20Menggunakan%20Metode%20PCI%20pada%20Jalan%20Perkerasan%20Kaku%27,N/A,"Jurnal Aplikasi Teknik Sipil 22 (3), 207-214, 2024",2024,0 cited,N/A,Authors : A Suraji,N/A,N/A
Effects of overloading commercial vehicles on road design life,https://scholar.google.com/scholar?q=+intitle:%27Effects%20of%20overloading%20commercial%20vehicles%20on%20road%20design%20life%27,N/A,"AIP Conference Proceedings 3110 (1), 2024",2024,0 cited,N/A,"Authors : A Suraji, AT Sudjianto, R Riman, C Aditya, M Cakrawala, M Fatkhurrozi, ...",N/A,N/A
ANALISIS PENGARUH BEBAN LEBIH TERHADAP UMUR PERKERASAN JALAN PADA RUAS JALAN KAPTEN TENDEAN KOTA KEDIRI,https://scholar.google.com/scholar?q=+intitle:%27ANALISIS%20PENGARUH%20BEBAN%20LEBIH%20TERHADAP%20UMUR%20PERKERASAN%20JALAN%20PADA%20RUAS%20JALAN%20KAPTEN%20TENDEAN%20KOTA%20KEDIRI%27,N/A,"Potensi: Jurnal Sipil Politeknik 25 (2), 61-68, 2023",2023,0 cited,N/A,"Authors : BA Putra, A Suraji, LK Wardani, AT Sudjianto",N/A,N/A
Moving Car Observation (MCO) for Road Surface Defect Identification Using GPS Video,https://scholar.google.com/scholar?q=+intitle:%27Moving%20Car%20Observation%20(MCO)%20for%20Road%20Surface%20Defect%20Identification%20Using%20GPS%20Video%27,N/A,"2023 International Conference on Computer Science, Information Technology …, 2023",2023,1 cited,N/A,"Authors : A Suraji, AT Sudjianto, R Riman, C Aditya, AY Rahman, RP Putra",N/A,N/A
ANALISIS KENYAMANAN PEJALAN KAKI TERHADAP JALUR PEDESTRIAN DI JALAN VETERAN BOJONEGORO,https://scholar.google.com/scholar?q=+intitle:%27ANALISIS%20KENYAMANAN%20PEJALAN%20KAKI%20TERHADAP%20JALUR%20PEDESTRIAN%20DI%20JALAN%20VETERAN%20BOJONEGORO%27,N/A,"Prosidia Widya Saintek 2 (2), 195-202, 2023",2023,0 cited,N/A,"Authors : D Zakaria, A Suraji, D Irawan",N/A,N/A
PEMANFAATAN DAN PENERAPAN INTERNET of THINGS (IoT) DI BERBAGAI BIDANG (Studi Kasus & Implementasi pemanfaatan serta Penerapan IoT dalam Berbagai Bidang),https://scholar.google.com/scholar?q=+intitle:%27PEMANFAATAN%20DAN%20PENERAPAN%20INTERNET%20of%20THINGS%20(IoT)%20DI%20BERBAGAI%20BIDANG%20%20(Studi%20Kasus%20&%20Implementasi%20pemanfaatan%20serta%20Penerapan%20IoT%20dalam%20Berbagai%20Bidang)%27,N/A,,2023,0 cited,N/A,"Authors : APO Amane, RW Febriana, M Artiyasa, AO Cahyaningrum, Husain, ...",N/A,N/A
ANALISIS PERHITUNGAN STRUKTUR BANGUNAN 3 LANTAI MENGGUNAKAN APLIKASI SANSPRO,https://scholar.google.com/scholar?q=+intitle:%27ANALISIS%20PERHITUNGAN%20STRUKTUR%20BANGUNAN%203%20LANTAI%20MENGGUNAKAN%20APLIKASI%20SANSPRO%27,N/A,"Prosidia Widya Saintek 2 (2), 149-158, 2023",2023,0 cited,N/A,"Authors : MNW Ningrum, R Riman, A Halim, A Suraji",N/A,N/A
KAJIAN POTENSI PENGGUNA JALAN BEBAS HAMBATAN MALANG–KEPANJEN DAN DAMPAK PENGOPERASIAN TERHADAP JALAN EKSISTING,https://scholar.google.com/scholar?q=+intitle:%27KAJIAN%20POTENSI%20PENGGUNA%20JALAN%20BEBAS%20HAMBATAN%20MALANG%E2%80%93KEPANJEN%20DAN%20DAMPAK%20PENGOPERASIAN%20TERHADAP%20JALAN%20EKSISTING%27,N/A,"BOUWPLANK Jurnal Ilmiah Teknik Sipil dan Lingkungan 3 (1), 11-20, 2023",2023,0 cited,N/A,"Authors : A Suraji, A Halim",N/A,N/A
Analisis Kinerja Parkir di Tepi Jalan Umum Wilayah Kota Malang,https://scholar.google.com/scholar?q=+intitle:%27Analisis%20Kinerja%20Parkir%20di%20Tepi%20Jalan%20Umum%20Wilayah%20Kota%20Malang%27,N/A,"Teras Jurnal: Jurnal Teknik Sipil 13 (1), 139-150, 2023",2023,0 cited,N/A,"Authors : A Suraji, CM Qomariyah, M Cakrawala, D Irawan, A Halim",N/A,N/A
STUDI PERENCANAAN PONDASI SUMURAN PADA PROYEK PENGEMBANGAN GEDUNG KAMPUS INSTITUT TEKNOLOGI DAN BISNIS WIDYAGAMA LUMAJANG,https://scholar.google.com/scholar?q=+intitle:%27STUDI%20PERENCANAAN%20PONDASI%20SUMURAN%20PADA%20PROYEK%20PENGEMBANGAN%20GEDUNG%20KAMPUS%20INSTITUT%20TEKNOLOGI%20DAN%20BISNIS%20WIDYAGAMA%20LUMAJANG%27,N/A,"Prosidia Widya Saintek 2 (2), 129-134, 2023",2023,0 cited,N/A,"Authors : YI Maulana, A Halim, A Suraji",N/A,N/A
PENERAPAN METODE EARNED VALUE PADA PROYEK PENINGKATAN JALAN DI KABUPATEN JEMBER,https://scholar.google.com/scholar?q=+intitle:%27PENERAPAN%20METODE%20EARNED%20VALUE%20PADA%20PROYEK%20PENINGKATAN%20JALAN%20DI%20KABUPATEN%20JEMBER%27,N/A,"BOUWPLANK Jurnal Ilmiah Teknik Sipil dan Lingkungan 3 (1), 36-42, 2023",2023,0 cited,N/A,"Authors : FH Ayuningtyas, D Irawan, A Suraji, AT Sudjianto",N/A,N/A
ANALISIS PENGARUH BEBAN LEBIH TERHADAP UMUR PERKERASAN JALAN PADA RUAS JALAN KAPTEN TENDEAN KOTA KEDIRI,https://scholar.google.com/scholar?q=+intitle:%27ANALISIS%20PENGARUH%20BEBAN%20LEBIH%20TERHADAP%20UMUR%20PERKERASAN%20JALAN%20PADA%20RUAS%20JALAN%20KAPTEN%20TENDEAN%20KOTA%20KEDIRI%27,N/A,"Potensi: Jurnal Sipil Politeknik 25 (2), 61-68, 2023",2023,0 cited,N/A,"Authors : BA Putra, A Suraji, LK Wardani, AT Sudjianto",N/A,N/A
PEMANFAATAN DAN PENERAPAN INTERNET of THINGS (IoT) DI BERBAGAI BIDANG (Studi Kasus & Implementasi pemanfaatan serta Penerapan IoT dalam Berbagai Bidang),https://scholar.google.com/scholar?q=+intitle:%27PEMANFAATAN%20DAN%20PENERAPAN%20INTERNET%20of%20THINGS%20(IoT)%20DI%20BERBAGAI%20BIDANG%20%20(Studi%20Kasus%20&%20Implementasi%20pemanfaatan%20serta%20Penerapan%20IoT%20dalam%20Berbagai%20Bidang)%27,N/A,,2023,0 cited,N/A,"Authors : APO Amane, RW Febriana, M Artiyasa, AO Cahyaningrum, Husain, ...",N/A,N/A
Moving Car Observation (MCO) for Road Surface Defect Identification Using GPS Video,https://scholar.google.com/scholar?q=+intitle:%27Moving%20Car%20Observation%20(MCO)%20for%20Road%20Surface%20Defect%20Identification%20Using%20GPS%20Video%27,N/A,"2023 International Conference on Computer Science, Information Technology …, 2023",2023,1 cited,N/A,"Authors : A Suraji, AT Sudjianto, R Riman, C Aditya, AY Rahman, RP Putra",N/A,N/A
ANALISIS KENYAMANAN PEJALAN KAKI TERHADAP JALUR PEDESTRIAN DI JALAN VETERAN BOJONEGORO,https://scholar.google.com/scholar?q=+intitle:%27ANALISIS%20KENYAMANAN%20PEJALAN%20KAKI%20TERHADAP%20JALUR%20PEDESTRIAN%20DI%20JALAN%20VETERAN%20BOJONEGORO%27,N/A,"Prosidia Widya Saintek 2 (2), 195-202, 2023",2023,0 cited,N/A,"Authors : D Zakaria, A Suraji, D Irawan",N/A,N/A
ANALISIS PERHITUNGAN STRUKTUR BANGUNAN 3 LANTAI MENGGUNAKAN APLIKASI SANSPRO,https://scholar.google.com/scholar?q=+intitle:%27ANALISIS%20PERHITUNGAN%20STRUKTUR%20BANGUNAN%203%20LANTAI%20MENGGUNAKAN%20APLIKASI%20SANSPRO%27,N/A,"Prosidia Widya Saintek 2 (2), 149-158, 2023",2023,0 cited,N/A,"Authors : MNW Ningrum, R Riman, A Halim, A Suraji",N/A,N/A
Kajian Tarif dengan Menggunakan Metode Besar Keuntungan Biaya Operasional Kendaraan di Jalan Bebas Hambatan Bekasi–Cawang–Kampung Melayu,https://scholar.google.com/scholar?q=+intitle:%27Kajian%20Tarif%20dengan%20Menggunakan%20Metode%20Besar%20Keuntungan%20Biaya%20Operasional%20Kendaraan%20di%20Jalan%20Bebas%20Hambatan%20Bekasi%E2%80%93Cawang%E2%80%93Kampung%20Melayu%27,N/A,"BOUWPLANK Jurnal Ilmiah Teknik Sipil dan Lingkungan 2 (1), 11-19, 2022",2022,0 cited,N/A,"Authors : A Indrawati, A Suraji, D Irawan",N/A,N/A
ANALISIS PENGARUH ON-STREET PARKING TERHADAP KINERJA LALU LINTAS DI PASAR BLIMBING KOTA MALANG,https://scholar.google.com/scholar?q=+intitle:%27ANALISIS%20PENGARUH%20ON-STREET%20PARKING%20TERHADAP%20KINERJA%20LALU%20LINTAS%20DI%20PASAR%20BLIMBING%20KOTA%20MALANG%27,N/A,"Conference on Innovation and Application of Science and Technology (CIASTECH …, 2022",2022,1 cited,N/A,"Authors : CM Qomariyah, A Suraji, A Halim",N/A,N/A
Empirical study of a spatial analysis for prone road traffic accident classification based on MCDM method,https://scholar.google.com/scholar?q=+intitle:%27Empirical%20study%20of%20a%20spatial%20analysis%20for%20prone%20road%20traffic%20accident%20classification%20based%20on%20MCDM%20method%27,N/A,"International Journal of Advanced Computer Science and Applications 13 (5 …, 2022",2022,14 cited,N/A,"Authors : AV Vitianingsih, SSK Baharin, O Othman, A Suraji",N/A,N/A
Analisis Kecelakaan Angkutan Umum Bus,https://scholar.google.com/scholar?q=+intitle:%27Analisis%20Kecelakaan%20Angkutan%20Umum%20Bus%27,N/A,,2022,0 cited,N/A,Authors : A Suraji,N/A,N/A
Evaluasi Kinerja Simpang Tiga Tak Bersinyal Jl. Muharto-Jl. Mayjen Sungkono–Jl. Raya Ki Ageng Gribig Kota Malang,https://scholar.google.com/scholar?q=+intitle:%27Evaluasi%20Kinerja%20Simpang%20Tiga%20Tak%20Bersinyal%20Jl.%20Muharto-Jl.%20Mayjen%20Sungkono%E2%80%93Jl.%20Raya%20Ki%20Ageng%20Gribig%20Kota%20Malang%27,N/A,"Siklus: Jurnal Teknik Sipil 8 (1), 70-85, 2022",2022,13 cited,N/A,"Authors : A Suraji, M Cakrawala",N/A,N/A
Analysis of Runway Flexible Pavement Design for Boeing 737-800 Aircraft using FAA Method,https://scholar.google.com/scholar?q=+intitle:%27Analysis%20of%20Runway%20Flexible%20Pavement%20Design%20for%20Boeing%20737-800%20Aircraft%20using%20FAA%20Method%27,N/A,"INCAVET: International Seminar Proceeding 1 (1), P53-62, 2022",2022,0 cited,N/A,"Authors : S Aji, C Aditya, M Cakrawala",N/A,N/A
PENGARUH SIKA DAN ABU VULKANIK GUNUNG SEMERU SEBAGAI PENGGANTI SEBAGIAN SEMEN TERHADAP KUAT TEKAN BETON,https://scholar.google.com/scholar?q=+intitle:%27PENGARUH%20SIKA%20DAN%20ABU%20VULKANIK%20GUNUNG%20SEMERU%20SEBAGAI%20PENGGANTI%20SEBAGIAN%20SEMEN%20TERHADAP%20KUAT%20TEKAN%20BETON%27,N/A,"Conference on Innovation and Application of Science and Technology (CIASTECH …, 2022",2022,2 cited,N/A,"Authors : MD Mboru, A Halim, C Aditya, A Suraji",N/A,N/A
INOVASI TEKNOLOGI DALAM MENDUKUNG KEMANDIRIAN BANGSA: Pola Permukiman Penduduk dan Kebisingan Lalu Lintas Jalan Raya,https://scholar.google.com/scholar?q=+intitle:%27INOVASI%20TEKNOLOGI%20DALAM%20MENDUKUNG%20KEMANDIRIAN%20BANGSA:%20Pola%20Permukiman%20Penduduk%20dan%20Kebisingan%20Lalu%20Lintas%20Jalan%20Raya%27,N/A,,2022,0 cited,N/A,"Authors : N Tjahjono, A Suraji",N/A,N/A
Smart Route Choice Based on Google Maps Application in Urban Road Network,https://scholar.google.com/scholar?q=+intitle:%27Smart%20Route%20Choice%20Based%20on%20Google%20Maps%20Application%20in%20Urban%20Road%20Network%27,N/A,"2022 1st International Conference on Technology Innovation and Its …, 2022",2022,1 cited,N/A,"Authors : A Suraji, G Subiyakto, D Irawan, F Marisa, N Tjahjono, MW Nugroho",N/A,N/A
PENGARUH AGREGAT HALUS PASIR HITAM DAN COKLAT DENGAN ZAT DAMDEX TERHADAP KUAT TEKAN BETON DAN MODULUS,https://scholar.google.com/scholar?q=+intitle:%27PENGARUH%20AGREGAT%20HALUS%20PASIR%20HITAM%20DAN%20COKLAT%20DENGAN%20ZAT%20DAMDEX%20TERHADAP%20KUAT%20TEKAN%20BETON%20DAN%20MODULUS%27,N/A,"Conference on Innovation and Application of Science and Technology (CIASTECH …, 2022",2022,0 cited,N/A,"Authors : J Tunabenani, A Halim, A Suraji",N/A,N/A
Percepatan Waktu dan Biaya Bangunan Gedung dengan Menggunakan Metode Time Cost Trade Off (TCTO),https://scholar.google.com/scholar?q=+intitle:%27Percepatan%20Waktu%20dan%20Biaya%20Bangunan%20Gedung%20dengan%20Menggunakan%20Metode%20Time%20Cost%20Trade%20Off%20(TCTO)%27,N/A,"BOUWPLANK Jurnal Ilmiah Teknik Sipil dan Lingkungan 2 (2), 21-29, 2022",2022,0 cited,N/A,"Authors : S Mardiana, D Irawan, M Cakrawala, A Suraji",N/A,N/A
Correlation of Expansive Soil and Road Pavement Conditions Using Data Mining from GIS Portal,https://scholar.google.com/scholar?q=+intitle:%27Correlation%20of%20Expansive%20Soil%20and%20Road%20Pavement%20Conditions%20Using%20Data%20Mining%20from%20GIS%20Portal%27,N/A,"2022 IEEE International Conference on Cybernetics and Computational …, 2022",2022,3 cited,N/A,"Authors : A Suraji, F Marisa, C Aditya, F Rofii, AT Sudjianto, R Riman",N/A,N/A
Application of the Synthetic Over-Sampling Method to Increase the Sensitivity of Algorithm Classification for Class Imbalance in Small Spatial Datasets,https://scholar.google.com/scholar?q=+intitle:%27Application%20of%20the%20Synthetic%20Over-Sampling%20Method%20to%20Increase%20the%20Sensitivity%20of%20Algorithm%20Classification%20for%20Class%20Imbalance%20in%20Small%20Spatial%20Datasets%27,N/A,"International Journal of Intelligent Engineering and Systems 15 (5), 679-690, 2022",2022,7 cited,N/A,"Authors : AV Vitianingsih, Z Othman, SSK Baharin, A Suraji, AL Maukar",N/A,N/A
Pengaruh Jenis Semen Dan Penambahan Tetes Tebu Terhadap Mutu Karakteristik Beton,https://scholar.google.com/scholar?q=+intitle:%27Pengaruh%20Jenis%20Semen%20Dan%20Penambahan%20Tetes%20Tebu%20Terhadap%20Mutu%20Karakteristik%20Beton%27,N/A,"Jurnal Intakindo Jatim 1 (1), 68-67, 2022",2022,1 cited,N/A,"Authors : A Halim, A Suraji",N/A,N/A
Empirical study of a spatial analysis for prone road traffic accident classification based on MCDM method,https://scholar.google.com/scholar?q=+intitle:%27Empirical%20study%20of%20a%20spatial%20analysis%20for%20prone%20road%20traffic%20accident%20classification%20based%20on%20MCDM%20method%27,N/A,"International Journal of Advanced Computer Science and Applications 13 (5 …, 2022",2022,14 cited,N/A,"Authors : AV Vitianingsih, SSK Baharin, O Othman, A Suraji",N/A,N/A
PENGARUH PENAMBAHAN TETES TEBU TERHADAP KUAT TEKAN DAN MODULUS ELASTISITAS,https://scholar.google.com/scholar?q=+intitle:%27PENGARUH%20PENAMBAHAN%20TETES%20TEBU%20TERHADAP%20KUAT%20TEKAN%20DAN%20MODULUS%20ELASTISITAS%27,N/A,"Prosiding Forum Ilmiah Nasional Teknik 1 (1), 156-161, 2022",2022,0 cited,N/A,"Authors : LC Alfian, A Halim, A Suraji",N/A,N/A
Uji Kuat Tekan dan Modulus Elastisitas dengan Kombinasi Pasir Hitam dan Coklat dengan Tambahan Sika,https://scholar.google.com/scholar?q=+intitle:%27Uji%20Kuat%20Tekan%20dan%20Modulus%20Elastisitas%20dengan%20Kombinasi%20Pasir%20Hitam%20dan%20Coklat%20dengan%20Tambahan%20Sika%27,N/A,"Prosidia Widya Saintek 1 (1), 31-40, 2022",2022,1 cited,N/A,"Authors : M Ansor, A Halim, A Suraji",N/A,N/A
Evaluasi Kinerja Simpang Tiga Tak Bersinyal Jl. Muharto-Jl. Mayjen Sungkono–Jl. Raya Ki Ageng Gribig Kota Malang,https://scholar.google.com/scholar?q=+intitle:%27Evaluasi%20Kinerja%20Simpang%20Tiga%20Tak%20Bersinyal%20Jl.%20Muharto-Jl.%20Mayjen%20Sungkono%E2%80%93Jl.%20Raya%20Ki%20Ageng%20Gribig%20Kota%20Malang%27,N/A,"Siklus: Jurnal Teknik Sipil 8 (1), 70-85, 2022",2022,13 cited,N/A,"Authors : A Suraji, M Cakrawala",N/A,N/A
Analysis of Runway Flexible Pavement Design for Boeing 737-800 Aircraft using FAA Method,https://scholar.google.com/scholar?q=+intitle:%27Analysis%20of%20Runway%20Flexible%20Pavement%20Design%20for%20Boeing%20737-800%20Aircraft%20using%20FAA%20Method%27,N/A,"INCAVET: International Seminar Proceeding 1 (1), P53-62, 2022",2022,0 cited,N/A,"Authors : S Aji, C Aditya, M Cakrawala",N/A,N/A
PENGARUH SIKA DAN ABU VULKANIK GUNUNG SEMERU SEBAGAI PENGGANTI SEBAGIAN SEMEN TERHADAP KUAT TEKAN BETON,https://scholar.google.com/scholar?q=+intitle:%27PENGARUH%20SIKA%20DAN%20ABU%20VULKANIK%20GUNUNG%20SEMERU%20SEBAGAI%20PENGGANTI%20SEBAGIAN%20SEMEN%20TERHADAP%20KUAT%20TEKAN%20BETON%27,N/A,"Conference on Innovation and Application of Science and Technology (CIASTECH …, 2022",2022,2 cited,N/A,"Authors : MD Mboru, A Halim, C Aditya, A Suraji",N/A,N/A
Analisis Kecelakaan Angkutan Umum Bus,https://scholar.google.com/scholar?q=+intitle:%27Analisis%20Kecelakaan%20Angkutan%20Umum%20Bus%27,N/A,,2022,0 cited,N/A,Authors : A Suraji,N/A,N/A
Smart Route Choice Based on Google Maps Application in Urban Road Network,https://scholar.google.com/scholar?q=+intitle:%27Smart%20Route%20Choice%20Based%20on%20Google%20Maps%20Application%20in%20Urban%20Road%20Network%27,N/A,"2022 1st International Conference on Technology Innovation and Its …, 2022",2022,1 cited,N/A,"Authors : A Suraji, G Subiyakto, D Irawan, F Marisa, N Tjahjono, MW Nugroho",N/A,N/A
INOVASI TEKNOLOGI DALAM MENDUKUNG KEMANDIRIAN BANGSA: Pola Permukiman Penduduk dan Kebisingan Lalu Lintas Jalan Raya,https://scholar.google.com/scholar?q=+intitle:%27INOVASI%20TEKNOLOGI%20DALAM%20MENDUKUNG%20KEMANDIRIAN%20BANGSA:%20Pola%20Permukiman%20Penduduk%20dan%20Kebisingan%20Lalu%20Lintas%20Jalan%20Raya%27,N/A,,2022,0 cited,N/A,"Authors : N Tjahjono, A Suraji",N/A,N/A
ANALISIS FAKTOR BEBAN SUMBU KENDARAAN BERAT TRUK PENGANGKUT PASIR DENGAN QUARRY DI LUMAJANG,https://scholar.google.com/scholar?q=+intitle:%27ANALISIS%20FAKTOR%20BEBAN%20SUMBU%20KENDARAAN%20BERAT%20TRUK%20PENGANGKUT%20PASIR%20DENGAN%20QUARRY%20DI%20LUMAJANG%27,N/A,"Conference on Innovation and Application of Science and Technology (CIASTECH …, 2021",2021,0 cited,N/A,"Authors : JM Ximenes, A Suraji, AT Sudjianto",N/A,N/A
Vehicle Counting Accuracy Improvement By Identity Sequences Detection Based on Yolov4 Deep Neural Networks,https://scholar.google.com/scholar?q=+intitle:%27Vehicle%20Counting%20Accuracy%20Improvement%20By%20Identity%20Sequences%20Detection%20Based%20on%20Yolov4%20Deep%20Neural%20Networks%27,N/A,"Teknik 42 (2), 169-177, 2021",2021,14 cited,N/A,"Authors : F Rofii, G Priyandoko, MI Fanani, A Suraji",N/A,N/A
Travel Time Behavior Study Of Malang-Denpasar Intercity Bus Considering Sailing Time Of Ketapang-Gilimanuk,https://scholar.google.com/scholar?q=+intitle:%27Travel%20Time%20Behavior%20Study%20Of%20Malang-Denpasar%20Intercity%20Bus%20Considering%20Sailing%20Time%20Of%20Ketapang-Gilimanuk%27,N/A,"Journal Of Science And Applied Engineering, 63-68, 2021",2021,3 cited,N/A,"Authors : M Fatkhurrozi, DK Sudarsana, D Yuniar, A Suraji",N/A,N/A
Contributor Reviewer JSeD Vol 4-2021,https://scholar.google.com/scholar?q=+intitle:%27Contributor%20Reviewer%20JSeD%20Vol%204-2021%27,N/A,"JSeD, 2021",2021,0 cited,N/A,"Authors : MR Hussain, MM Khan, R Rokhim, IAN Saskara, A Rahim, AT Nugraha, ...",N/A,N/A
Analisis Perbedaan Struktur Perkerasan Jalan Menggunakan Beban Sumbu Standar dan Beban Sumbu Riil,https://scholar.google.com/scholar?q=+intitle:%27Analisis%20Perbedaan%20Struktur%20Perkerasan%20Jalan%20Menggunakan%20Beban%20Sumbu%20Standar%20dan%20Beban%20Sumbu%20Riil%27,N/A,"Bowplank Jurnal Ilmiah Teknik Sipil dan Lingkungan 1 (1), 1-14, 2021",2021,3 cited,N/A,"Authors : AA Rahman, A Suraji, M Cakrawala",N/A,N/A
Peningkatan Akurasi Penghitungan Jumlah Kendaraan dengan Membangkitkan Urutan Identitas Deteksi Berbasis Yolov4 Deep Neural Networks,https://scholar.google.com/scholar?q=+intitle:%27Peningkatan%20Akurasi%20Penghitungan%20Jumlah%20Kendaraan%20dengan%20Membangkitkan%20Urutan%20Identitas%20Deteksi%20Berbasis%20Yolov4%20Deep%20Neural%20Networks%27,N/A,"TEKNIK 42 (2), 169-177, 2021",2021,9 cited,N/A,"Authors : F Rofii, G Priyandoko, MI Fanani, A Suraji",N/A,N/A
Studi Evaluasi Geometrik Jalan Nasional pada Ruas Jalan Kepanjen-Wlingi,https://scholar.google.com/scholar?q=+intitle:%27Studi%20Evaluasi%20Geometrik%20Jalan%20Nasional%20pada%20Ruas%20Jalan%20Kepanjen-Wlingi%27,N/A,"Conference on Innovation and Application of Science and Technology (CIASTECH …, 2021",2021,0 cited,N/A,"Authors : LA Do Rosario, A Suraji, D Irawan",N/A,N/A
Identifikasi Kerusakan Jalan Perkerasan Kaku Untuk Program Preservasi Jalan,https://scholar.google.com/scholar?q=+intitle:%27Identifikasi%20Kerusakan%20Jalan%20Perkerasan%20Kaku%20Untuk%20Program%20Preservasi%20Jalan%27,N/A,"Prosiding Simposium Forum Studi Transportasi Antar Perguruan Tinggi Ke-24 …, 2021",2021,2 cited,N/A,"Authors : MP Bulan, A Suraji, AT Sudjianto",N/A,N/A
Studi Waktu Perjalanan Bus AKDP Trayek Surabaya-Pacitan,https://scholar.google.com/scholar?q=+intitle:%27Studi%20Waktu%20Perjalanan%20Bus%20AKDP%20Trayek%20Surabaya-Pacitan%27,N/A,"Book Chapter Seri 2, 2021",2021,5 cited,N/A,Authors : A Suraji,N/A,N/A
Contributor Reviewer JSeD Vol 4-2021,https://scholar.google.com/scholar?q=+intitle:%27Contributor%20Reviewer%20JSeD%20Vol%204-2021%27,N/A,"JSeD, 2021",2021,0 cited,N/A,"Authors : MR Hussain, MM Khan, R Rokhim, IAN Saskara, A Rahim, AT Nugraha, ...",N/A,N/A
Studi Evaluasi Geometrik Jalan Nasional pada Ruas Jalan Kepanjen-Wlingi,https://scholar.google.com/scholar?q=+intitle:%27Studi%20Evaluasi%20Geometrik%20Jalan%20Nasional%20pada%20Ruas%20Jalan%20Kepanjen-Wlingi%27,N/A,"Conference on Innovation and Application of Science and Technology (CIASTECH …, 2021",2021,0 cited,N/A,"Authors : LA Do Rosario, A Suraji, D Irawan",N/A,N/A
Identifikasi Kerusakan Jalan Perkerasan Kaku Untuk Program Preservasi Jalan,https://scholar.google.com/scholar?q=+intitle:%27Identifikasi%20Kerusakan%20Jalan%20Perkerasan%20Kaku%20Untuk%20Program%20Preservasi%20Jalan%27,N/A,"Prosiding Simposium Forum Studi Transportasi Antar Perguruan Tinggi Ke-24 …, 2021",2021,2 cited,N/A,"Authors : MP Bulan, A Suraji, AT Sudjianto",N/A,N/A
Studi Waktu Perjalanan Bus AKDP Trayek Surabaya-Pacitan,https://scholar.google.com/scholar?q=+intitle:%27Studi%20Waktu%20Perjalanan%20Bus%20AKDP%20Trayek%20Surabaya-Pacitan%27,N/A,"Book Chapter Seri 2, 2021",2021,5 cited,N/A,Authors : A Suraji,N/A,N/A
Analysis of soil characteristics on expansive clay stabilization using shell ash,https://scholar.google.com/scholar?q=+intitle:%27Analysis%20of%20soil%20characteristics%20on%20expansive%20clay%20stabilization%20using%20shell%20ash%27,N/A,"Eastern-European Journal of Enterprise Technologies 6 (6), 114, 2021",2021,4 cited,N/A,"Authors : AT Sudjianto, A Suraji, SH Susilo",N/A,N/A
Kajian Penurunan Tiang Jembatan dengan Interaksi Struktur-Tanah,https://scholar.google.com/scholar?q=+intitle:%27Kajian%20Penurunan%20Tiang%20Jembatan%20dengan%20Interaksi%20Struktur-Tanah%27,N/A,"Journal of Infrastructure Planning and Design 1 (2), 32-36, 2021",2021,0 cited,N/A,"Authors : M Fatkhurrozi, A Ridlwan, A Suraji",N/A,N/A
INOVASI TEKNOLOGI DALAM MENDUKUNG PEMBANGUNAN BERKELANJUTAN: Studi Waktu Perjalanan Bus AKDP Trayek Surabaya-Pacitan,https://scholar.google.com/scholar?q=+intitle:%27INOVASI%20TEKNOLOGI%20DALAM%20MENDUKUNG%20PEMBANGUNAN%20BERKELANJUTAN:%20Studi%20Waktu%20Perjalanan%20Bus%20AKDP%20Trayek%20Surabaya-Pacitan%27,N/A,,2021,0 cited,N/A,Authors : A Suraji,N/A,N/A
